"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
"STR_CfgVehicles_SFM_NoviceJacket_open_ColorBase0","Novice Jacket","Novice Jacket","Bunda pro nováčky","Novizen-Jacke","Novice Jacket","Kurtka dla początkujących","Novice kabát","Giacca da novizio","Chaqueta para principiantes","Veste de novice","新手夹克","ノービス・ジャケット","Casaco de principiante","新手夹克",
"STR_CfgVehicles_SFM_NoviceJacket_open_ColorBase1","","","","","","","","","","","","","","",
"STR_CfgVehicles_SFM_SportBackpack_Base0","Sport Backpack","Sport Backpack","Sportovní batoh","Sport-Rucksack","Спортивная сумка","Plecak sportowy","Sport hátizsák","Zaino sportivo","Mochila deportiva","Sac à dos de sport","运动背包","スポーツ・バックパック","Mochila desportiva","运动背包",
"STR_CfgVehicles_SFM_SportBackpack_Base1","A durable backpack offering generous storage capacity for long trips in the Zone.","A durable backpack offering generous storage capacity for long trips in the Zone.","Odolný batoh s velkým úložným prostorem pro dlouhé výlety v zóně.","Ein strapazierfähiger Rucksack mit großem Fassungsvermögen für lange Touren in der Zone.","Спортивная сумка с одной лямкой, довольно удобная для переноски небольшого количества вещей, имеет неплохую ткань и качество материала","Wytrzymały plecak oferujący dużą pojemność na długie wycieczki w strefie.","Tartós hátizsák, amely bőséges tárolókapacitást kínál a Zónában tett hosszú utazásokhoz.","Uno zaino resistente che offre un'ampia capacità di stoccaggio per i lunghi viaggi nella Zona.","Una mochila duradera que ofrece una generosa capacidad de almacenamiento para viajes largos en la Zona.","Un sac à dos durable offrant une grande capacité de stockage pour les longues excursions dans la zone.","这款背包经久耐用，存储容量大，适合在 ""区域 ""内进行长途旅行。","ゾーンでの長旅に最適な収納力を備えた丈夫なバックパック。","Uma mochila durável que oferece uma capacidade de armazenamento generosa para viagens longas na Zona.","这款背包经久耐用，存储容量大，适合在 ""区域 ""内进行长途旅行。",
"STR_CfgVehicles_NVGoggles0","Night Vision Goggles","Night Vision Goggles","Brýle pro noční vidění","Nachtsichtbrillen","Очки ночного видения","Gogle noktowizyjne","Éjjellátó szemüveg","Occhiali per la visione notturna","Gafas de visión nocturna","Lunettes de vision nocturne","夜视镜","ナイトビジョン・ゴーグル","Óculos de visão nocturna","夜视镜",
"STR_CfgVehicles_NVGoggles1","Head-mounted night vision device for improved visibility in low-light conditions.","Head-mounted night vision device for improved visibility in low-light conditions.","Zařízení pro noční vidění na hlavě pro lepší viditelnost za zhoršených světelných podmínek.","Am Kopf montiertes Nachtsichtgerät für bessere Sicht bei schlechten Lichtverhältnissen.","Налобный прибор ночного видения для улучшения видимости в условиях недостаточной освещенности.","Montowany na głowie noktowizor zapewniający lepszą widoczność w warunkach słabego oświetlenia.","Fejre szerelhető éjjellátó készülék a jobb láthatóságért gyenge fényviszonyok között.","Dispositivo di visione notturna montato sulla testa per migliorare la visibilità in condizioni di scarsa illuminazione.","Dispositivo de visión nocturna montado en la cabeza para mejorar la visibilidad en condiciones de poca luz.","Dispositif de vision nocturne monté sur la tête pour une meilleure visibilité dans des conditions de faible luminosité.","头戴式夜视仪可提高弱光条件下的能见度。","低照度下での視認性を向上させるヘッドマウント暗視装置。","Dispositivo de visão nocturna montado na cabeça para melhorar a visibilidade em condições de pouca luz.","头戴式夜视仪可提高弱光条件下的能见度。",
"STR_CfgVehicles_GorkaHelmetVisor0","Gorka Helmet Visor","Gorka Helmet Visor","Přilbový štít Gorka","Gorka Helmvisier","Козырек для шлема Gorka","Daszek do kasku Gorka","Gorka sisak napellenző","Visiera per casco Gorka","Visera para casco Gorka","Visière de casque Gorka","戈尔卡头盔面罩","ゴルカ・ヘルメット・バイザー","Viseira de capacete Gorka","戈尔卡头盔面罩",
"STR_CfgVehicles_GorkaHelmetVisor1","Protective visor attachment for the Gorka helmet, offering additional facial protection.","Protective visor attachment for the Gorka helmet, offering additional facial protection.","Ochranný nástavec pro přilbu Gorka, který poskytuje dodatečnou ochranu obličeje.","Schutzvisieraufsatz für den Gorka-Helm, der zusätzlichen Schutz für das Gesicht bietet.","Защитный козырек для шлема Gorka, обеспечивающий дополнительную защиту лица.","Przyłbica ochronna do kasku Gorka, zapewniająca dodatkową ochronę twarzy.","A Gorka sisakhoz való védőszemüveg-felszerelés, amely további arcvédelmet nyújt.","Attacco per visiera protettiva per il casco Gorka, che offre un'ulteriore protezione del viso.","Accesorio de visera protectora para el casco Gorka, que ofrece protección facial adicional.","Fixation de la visière de protection pour le casque Gorka, offrant une protection faciale supplémentaire.","戈尔卡头盔的防护面罩附件，提供额外的面部保护。","ゴルカヘルメット用の保護バイザーアタッチメント。","Fixação da viseira de proteção para o capacete Gorka, oferecendo uma proteção facial adicional.","戈尔卡头盔的防护面罩附件，提供额外的面部保护。",
"STR_CfgVehicles_SFM_ArmyBoots_ColorBase0","Military Boots","Military Boots","Vojenské boty","Militärische Stiefel","Армейские ботинки","Buty wojskowe","Katonai csizma","Stivali militari","Botas militares","Bottes militaires","军靴","ミリタリーブーツ","Botas militares","军靴",
"STR_CfgVehicles_SFM_ArmyBoots_ColorBase1","Durable military boots with a sturdy sole that will let you walk many kilometers while reducing leg fatigue, excellent for rough terrain","Durable military boots with a sturdy sole that will let you walk many kilometers while reducing leg fatigue, excellent for rough terrain","Odolná vojenská obuv s pevnou podrážkou, která vám umožní ujít mnoho kilometrů a zároveň snižuje únavu nohou, výborná do náročného terénu.","Strapazierfähige Militärstiefel mit einer robusten Sohle, die es Ihnen ermöglicht, viele Kilometer zu laufen und dabei die Ermüdung der Beine zu verringern, ausgezeichnet für unwegsames Gelände","Прочные армейские ботинки, прочная подошва позволит пройти не один киллометр, а так же снимет лишнее напряжение с ног, отлично подходит для пересеченной местности","Wytrzymałe buty wojskowe z solidną podeszwą, która pozwoli ci przejść wiele kilometrów, jednocześnie zmniejszając zmęczenie nóg, doskonałe na trudny teren","Tartós katonai csizma erős talppal, amely lehetővé teszi, hogy sok kilométert gyalogoljon, miközben csökkenti a lábfáradtságot, kiválóan alkalmas durva terepre","Stivali militari resistenti con una suola robusta che vi permetterà di camminare per molti chilometri riducendo l'affaticamento delle gambe, ottimi per i terreni accidentati.","Botas militares duraderas con una suela resistente que te permitirá caminar muchos kilómetros reduciendo la fatiga de las piernas, excelentes para terrenos abruptos.","Bottes militaires durables dotées d'une semelle robuste qui vous permettra de marcher de nombreux kilomètres tout en réduisant la fatigue des jambes, excellentes pour les terrains accidentés.","军靴经久耐用，鞋底结实，可让你行走数公里，同时减轻腿部疲劳，是崎岖地形的绝佳选择","頑丈なソールで何キロも歩ける丈夫なミリタリーブーツは、脚の疲れを軽減し、悪路にも対応する優れもの。","Botas militares duráveis com uma sola resistente que lhe permitirá caminhar muitos quilómetros reduzindo a fadiga das pernas, excelentes para terrenos difíceis","军靴经久耐用，鞋底结实，可让你行走数公里，同时减轻腿部疲劳，是崎岖地形的绝佳选择",
"STR_CfgVehicles_SFM_SportBoots_Base0","Sports Sneakers","Sports Sneakers","Sportovní tenisky","Sport Turnschuhe","Спортивные кроссовки","Trampki sportowe","Sportcipők","Scarpe da ginnastica sportive","Zapatillas deportivas","Baskets de sport","运动鞋","スポーツ・スニーカー","Ténis desportivos","运动鞋",
"STR_CfgVehicles_SFM_SportBoots_Base1","Sports sneakers - the perfect choice for an active lifestyle. Their lightweight and flexible design provides comfort and support during sports activities or daily walks. Durable materials and comfortable sole make these sneakers essential for running, fitness, or just active recreation. Thanks to their stylish design, they're also great for everyday wear, adding a dynamic accent to your look.","Sports sneakers - the perfect choice for an active lifestyle. Their lightweight and flexible design provides comfort and support during sports activities or daily walks. Durable materials and comfortable sole make these sneakers essential for running, fitness, or just active recreation. Thanks to their stylish design, they're also great for everyday wear, adding a dynamic accent to your look.","Sportovní tenisky - ideální volba pro aktivní životní styl. Jejich lehká a pružná konstrukce poskytuje pohodlí a oporu při sportovních aktivitách nebo každodenních procházkách. Díky odolným materiálům a pohodlné podrážce jsou tyto tenisky nezbytné pro běh, fitness nebo jen aktivní odpočinek. Díky stylovému designu se skvěle hodí i na každodenní nošení a dodají vašemu vzhledu dynamický akcent.","Sportliche Turnschuhe - die perfekte Wahl für einen aktiven Lebensstil. Ihr leichtes und flexibles Design bietet Komfort und Unterstützung bei sportlichen Aktivitäten oder täglichen Spaziergängen. Strapazierfähige Materialien und eine bequeme Sohle machen diese Sneaker zu einem unverzichtbaren Begleiter beim Laufen, im Fitnessbereich oder in der aktiven Freizeit. Dank ihres stilvollen Designs sind sie auch für den Alltag geeignet und setzen einen dynamischen Akzent in Ihrem Look.","Спортивные кроссовки - идеальный выбор для активного образа жизни. Их легкий и гибкий дизайн обеспечивает комфорт и поддержку во время занятий спортом или повседневных прогулок. Прочные материалы и удобная подошва делают эти кроссовки незаменимыми для бега, фитнеса или просто активного отдыха. Благодаря стильному дизайну, они также отлично подойдут для повседневной носки, добавляя динамичный акцент к вашему образу.","Sportowe sneakersy - idealny wybór dla osób prowadzących aktywny tryb życia. Ich lekka i elastyczna konstrukcja zapewnia wygodę i wsparcie podczas uprawiania sportu lub codziennych spacerów. Wytrzymałe materiały i wygodna podeszwa sprawiają, że te sneakersy są niezbędne do biegania, fitnessu lub po prostu aktywnego wypoczynku. Dzięki stylowemu wzornictwu świetnie nadają się również do noszenia na co dzień, dodając dynamicznego akcentu do Twojego wyglądu.","Sportcipő - tökéletes választás az aktív életmódhoz. Könnyű és rugalmas kialakításuk kényelmet és támogatást biztosít sporttevékenységek vagy napi séták során. A tartós anyagok és a kényelmes talp nélkülözhetetlenné teszik ezeket a tornacipőket futáshoz, fitneszhez vagy csak az aktív kikapcsolódáshoz. Stílusos kialakításuknak köszönhetően a mindennapi viselethez is kiválóan alkalmasak, dinamikus hangsúlyt adva megjelenésednek.","Sneakers sportive: la scelta perfetta per uno stile di vita attivo. Il loro design leggero e flessibile offre comfort e sostegno durante le attività sportive o le passeggiate quotidiane. I materiali resistenti e la suola confortevole rendono queste sneakers essenziali per la corsa, il fitness o semplicemente per il tempo libero. Grazie al loro design elegante, sono perfette anche per essere indossate tutti i giorni, aggiungendo un accento dinamico al vostro look.","Zapatillas deportivas: la elección perfecta para un estilo de vida activo. Su diseño ligero y flexible proporciona comodidad y sujeción durante las actividades deportivas o los paseos diarios. Sus materiales duraderos y su cómoda suela hacen que estas zapatillas sean esenciales para correr, hacer ejercicio o simplemente para el ocio activo. Gracias a su elegante diseño, también son ideales para llevar a diario, añadiendo un acento dinámico a tu look.","Les baskets de sport sont le choix idéal pour un mode de vie actif. Leur conception légère et flexible offre confort et soutien lors des activités sportives ou des promenades quotidiennes. Les matériaux durables et la semelle confortable rendent ces baskets indispensables pour la course à pied, le fitness ou tout simplement les loisirs actifs. Grâce à leur design élégant, elles sont également parfaites pour la vie de tous les jours, ajoutant un accent dynamique à votre look.","运动鞋--积极生活方式的完美选择。其轻便灵活的设计可在运动或日常散步时提供舒适的支撑。耐用的材料和舒适的鞋底使这款运动鞋成为跑步、健身或休闲活动的必备之选。由于设计时尚，它们也非常适合日常穿着，为您的造型增添活力。","スポーツスニーカー-アクティブなライフスタイルに最適な選択です。軽量で柔軟性のあるデザインは、スポーツ活動や毎日のウォーキングで快適な履き心地とサポートを提供する。耐久性に優れた素材と快適なソールにより、ランニングやフィットネス、あるいはアクティブなレクリエーションに欠かせないスニーカーとなっている。スタイリッシュなデザインなので、普段履きにも最適で、コーディネートにダイナミックなアクセントを加えてくれる。","Ténis desportivos - a escolha perfeita para um estilo de vida ativo. O seu design leve e flexível proporciona conforto e apoio durante actividades desportivas ou caminhadas diárias. Os materiais duráveis e a sola confortável tornam estas sapatilhas essenciais para correr, fazer exercício físico ou apenas para actividades recreativas. Graças ao seu design elegante, também são óptimas para o uso diário, acrescentando um toque dinâmico ao seu visual.","运动鞋--积极生活方式的完美选择。其轻便灵活的设计可在运动或日常散步时提供舒适的支撑。耐用的材料和舒适的鞋底使这款运动鞋成为跑步、健身或休闲活动的必备之选。由于设计时尚，它们也非常适合日常穿着，为您的造型增添活力。",
"STR_CfgVehicles_SFM_TacticalBoots_Base0","Tactical Boots","Tactical Boots","Taktické boty","Taktische Stiefel","Тактические ботинки","Buty taktyczne","Taktikai csizma","Stivali tattici","Botas tácticas","Bottes tactiques","战术靴","タクティカルブーツ","Botas tácticas","战术靴",
"STR_CfgVehicles_SFM_TacticalBoots_Base1","Tactical boots allow you to run across rough terrain while protecting against mechanical injuries. This is the main feature of tactical footwear.","Tactical boots allow you to run across rough terrain while protecting against mechanical injuries. This is the main feature of tactical footwear.","Taktická obuv vám umožní běhat v náročném terénu a zároveň vás ochrání před mechanickými zraněními. To je hlavní vlastnost taktické obuvi.","Mit taktischen Stiefeln kann man in unwegsamem Gelände laufen und ist gleichzeitig vor mechanischen Verletzungen geschützt. Dies ist das Hauptmerkmal von taktischen Schuhen.","Тактические ботинки дают возможность бежать по пересеченной местности и одновременно защищают от механических травм. Это главное свойство тактической обуви.","Buty taktyczne pozwalają biegać po trudnym terenie, jednocześnie chroniąc przed urazami mechanicznymi. Jest to główna cecha obuwia taktycznego.","A taktikai csizmák lehetővé teszik a durva terepen való futást, miközben védelmet nyújtanak a mechanikai sérülések ellen. Ez a taktikai lábbelik fő jellemzője.","Gli stivali tattici consentono di correre su terreni accidentati proteggendo al contempo dalle lesioni meccaniche. Questa è la caratteristica principale delle calzature tattiche.","Las botas tácticas permiten correr por terrenos abruptos al tiempo que protegen contra lesiones mecánicas. Esta es la principal característica del calzado táctico.","Les chaussures tactiques vous permettent de courir sur des terrains accidentés tout en vous protégeant contre les blessures mécaniques. C'est la principale caractéristique des chaussures tactiques.","战术靴可以让你在崎岖的地形上奔跑，同时保护你免受机械伤害。这是战术鞋的主要特点。","タクティカル・ブーツを履けば、機械的な怪我から身を守りながら、荒れた地形でも走ることができる。これがタクティカルフットウェアの最大の特徴である。","As botas tácticas permitem-lhe correr em terrenos difíceis, protegendo-o de lesões mecânicas. Esta é a principal caraterística do calçado tático.","战术靴可以让你在崎岖的地形上奔跑，同时保护你免受机械伤害。这是战术鞋的主要特点。",
"STR_CfgVehicles_SFM_ZephyrBoots_Base0","Lowa Zephyr Boots","Lowa Zephyr Boots","Boty Lowa Zephyr","Lowa Zephyr Stiefel","Ботинки Lowa Zephyr","Buty Lowa Zephyr","Lowa Zephyr csizma","Stivali Lowa Zephyr","Botas Lowa Zephyr","Bottes Lowa Zephyr","Lowa Zephyr 靴子","ローワ・ゼファー・ブーツ","Botas Lowa Zephyr","Lowa Zephyr 靴子",
"STR_CfgVehicles_SFM_ZephyrBoots_Base1","This is one of the most popular hiking boot models, used by hikers, mountaineers, athletes, military personnel, and law enforcement officers worldwide. Lowa Zephyr footwear combines loyalty to traditions, highest-level handcrafting, use and implementation of new materials, as well as a great level of craftsmanship","This is one of the most popular hiking boot models, used by hikers, mountaineers, athletes, military personnel, and law enforcement officers worldwide. Lowa Zephyr footwear combines loyalty to traditions, highest-level handcrafting, use and implementation of new materials, as well as a great level of craftsmanship","Jedná se o jeden z nejoblíbenějších modelů turistických bot, který používají turisté, horolezci, sportovci, vojáci i policisté po celém světě. Obuv Lowa Zephyr v sobě spojuje věrnost tradicím, ruční zpracování na nejvyšší úrovni, použití a implementaci nových materiálů a také skvělou úroveň řemeslného zpracování.","Dies ist eines der beliebtesten Wanderstiefelmodelle, das von Wanderern, Bergsteigern, Sportlern, Militärs und Polizeibeamten weltweit verwendet wird. Lowa Zephyr-Schuhe vereinen die Treue zu Traditionen, höchste Handwerkskunst, die Verwendung und Umsetzung neuer Materialien sowie ein hohes Maß an handwerklichem Können","это одна из самых популярных моделей туристической ботинок, используемая походниками, альпинистами, спортсменами, военными и сотрудниками правоохранительных органов по всему миру. Обувь Lowa Zephyr сочетает в себе верность традициям, ручной труд высочайшего уровня, использование и внедрение новых материалов, а также большой уровень мастерства","Jest to jeden z najpopularniejszych modeli butów turystycznych, używany przez turystów, alpinistów, sportowców, personel wojskowy i funkcjonariuszy organów ścigania na całym świecie. Obuwie Lowa Zephyr łączy w sobie wierność tradycjom, ręczne wykonanie na najwyższym poziomie, wykorzystanie i wdrażanie nowych materiałów, a także świetny poziom rzemiosła","Ez az egyik legnépszerűbb túrabakancsmodell, amelyet világszerte túrázók, hegymászók, sportolók, katonák és rendfenntartók használnak. A Lowa Zephyr lábbeli ötvözi a hagyományokhoz való hűséget, a legmagasabb szintű kézműves munkát, az új anyagok használatát és alkalmazását, valamint a nagyfokú kézműves munkát.","È uno dei modelli di scarponi da trekking più popolari, utilizzato da escursionisti, alpinisti, atleti, personale militare e forze dell'ordine di tutto il mondo. Le calzature Lowa Zephyr combinano fedeltà alle tradizioni, lavorazione artigianale di altissimo livello, utilizzo e implementazione di nuovi materiali e un grande livello di artigianalità.","Se trata de uno de los modelos de botas de montaña más populares, utilizado por excursionistas, montañeros, atletas, personal militar y agentes del orden de todo el mundo. El calzado Lowa Zephyr combina la lealtad a las tradiciones, la artesanía del más alto nivel, el uso y la implementación de nuevos materiales, así como un gran nivel de artesanía","Il s'agit de l'un des modèles de chaussures de randonnée les plus populaires, utilisé par les randonneurs, les alpinistes, les athlètes, le personnel militaire et les forces de l'ordre du monde entier. Les chaussures Lowa Zephyr allient la fidélité aux traditions, un travail manuel de haut niveau, l'utilisation et la mise en œuvre de nouveaux matériaux, ainsi qu'un niveau élevé de savoir-faire.","这是最受欢迎的徒步靴款式之一，被世界各地的徒步旅行者、登山者、运动员、军人和执法人员广泛使用。Lowa Zephyr 鞋款将对传统的忠诚、最高级别的手工制作、新材料的使用和应用以及精湛的工艺完美地结合在一起。","世界中のハイカー、登山家、アスリート、軍人、法執行官に愛用されている、最も人気のあるハイキングブーツモデルのひとつです。ローワ・ゼファーのフットウェアは、伝統への忠誠、最高レベルのハンドクラフト、新素材の使用と導入、そして卓越したクラフトマンシップを兼ね備えている。","Este é um dos modelos de botas de caminhada mais populares, utilizado por caminhantes, alpinistas, atletas, militares e agentes da autoridade em todo o mundo. O calçado Lowa Zephyr combina a lealdade às tradições, o fabrico manual de alto nível, a utilização e a implementação de novos materiais, bem como um grande nível de perícia","这是最受欢迎的徒步靴款式之一，被世界各地的徒步旅行者、登山者、运动员、军人和执法人员广泛使用。Lowa Zephyr 鞋款将对传统的忠诚、最高级别的手工制作、新材料的使用和应用以及精湛的工艺完美地结合在一起。",
"STR_CfgVehicles_SFM_6B47_Helmet_Base0","6B47 Helmet","6B47 Helmet","Přilba 6B47","6B47 Helm","Шлем 6Б47","Kask 6B47","6B47 sisak","Casco 6B47","Casco 6B47","Casque 6B47","6B47 头盔","6B47ヘルメット","Capacete 6B47","6B47 头盔",
"STR_CfgVehicles_SFM_6B47_Helmet_Base1","The 6B47 helmet is part of the 'Ratnik' equipment set. The helmet is made from textile materials based on microfilament aramid fibers. It allows for the use of standard communication equipment, mounting of instrument accessories, and is compatible with hearing, vision, and respiratory protection equipment.","The 6B47 helmet is part of the 'Ratnik' equipment set. The helmet is made from textile materials based on microfilament aramid fibers. It allows for the use of standard communication equipment, mounting of instrument accessories, and is compatible with hearing, vision, and respiratory protection equipment.","Přilba 6B47 je součástí sady vybavení ""Ratnik"". Přilba je vyrobena z textilních materiálů na bázi mikrovlákenných aramidových vláken. Umožňuje použití standardního komunikačního vybavení, montáž přístrojového příslušenství a je kompatibilní s prostředky na ochranu sluchu, zraku a dýchacích cest.","Der Helm 6B47 ist Teil des Ausrüstungssets ""Ratnik"". Der Helm ist aus textilen Materialien auf Basis von Mikrofilament-Aramidfasern gefertigt. Er ermöglicht die Verwendung von Standard-Kommunikationsgeräten, die Anbringung von Instrumentenzubehör und ist mit Hör-, Seh- und Atemschutzgeräten kompatibel.","Шлем 6Б47 входит в состав экипировки «Ратник». Шлем изготовлен из тканевых материалов на основе микрофиламентных арамидных нитей. Обеспечивает возможность использования штатных средств связи, крепление приборного оснащения и сочетается со средствами защиты органов слуха, зрения, дыхания.","Hełm 6B47 jest częścią zestawu wyposażenia ""Ratnik"". Hełm wykonany jest z materiałów tekstylnych opartych na mikrofilamentowych włóknach aramidowych. Umożliwia korzystanie ze standardowego sprzętu komunikacyjnego, montaż akcesoriów do przyrządów i jest kompatybilny ze sprzętem ochrony słuchu, wzroku i dróg oddechowych.","A 6B47 sisak a ""Ratnik"" felszereléskészlet része. A sisak mikroszálas aramidszálakon alapuló textilanyagokból készül. Lehetővé teszi a szabványos kommunikációs berendezések használatát, a műszer tartozékok felszerelését, és kompatibilis a hallás-, látás- és légzésvédő felszerelésekkel.","L'elmetto 6B47 fa parte dell'equipaggiamento ""Ratnik"". L'elmetto è realizzato con materiali tessili a base di fibre aramidiche a microfilamenti. Consente l'uso di apparecchiature di comunicazione standard, il montaggio di accessori per strumenti ed è compatibile con dispositivi di protezione dell'udito, della vista e delle vie respiratorie.","El casco 6B47 forma parte del conjunto de equipamiento ""Ratnik"". El casco está fabricado con materiales textiles a base de fibras de aramida microfilamentosas. Permite el uso de equipos de comunicación estándar, el montaje de accesorios de instrumentación y es compatible con equipos de protección auditiva, visual y respiratoria.","Le casque 6B47 fait partie de l'ensemble d'équipement ""Ratnik"". Le casque est fabriqué en matériaux textiles à base de fibres d'aramide microfilamentées. Il permet l'utilisation d'équipements de communication standard, le montage d'accessoires d'instruments et est compatible avec les équipements de protection auditive, visuelle et respiratoire.","6B47 头盔是 ""Ratnik ""装备套件的一部分。头盔由基于微丝芳纶纤维的纺织材料制成。它可以使用标准通信设备，安装仪器配件，并与听力、视力和呼吸保护设备兼容。","6B47ヘルメットは「ラトニック」装備セットの一部である。このヘルメットは、マイクロフィラメント・アラミド繊維をベースにした繊維素材で作られている。標準的な通信機器の使用、計器アクセサリーの装着が可能で、聴覚、視覚、呼吸保護装置との互換性がある。","O capacete 6B47 faz parte do conjunto de equipamento ""Ratnik"". O capacete é fabricado com materiais têxteis à base de fibras de aramida microfilamentadas. Permite a utilização de equipamento de comunicação normalizado, a montagem de acessórios para instrumentos e é compatível com equipamento de proteção auditiva, visual e respiratória.","6B47 头盔是 ""Ratnik ""装备套件的一部分。头盔由基于微丝芳纶纤维的纺织材料制成。它可以使用标准通信设备，安装仪器配件，并与听力、视力和呼吸保护设备兼容。",
"STR_CfgVehicles_SFM_AltynHelmet_Base0","Altyn Helmet","Altyn Helmet","Přilba Altyn","Altyn-Helm","Шлем Алтын","Kask Altyn","Altyn sisak","Casco Altyn","Casco Altyn","Casque Altyn","Altyn 头盔","アルティン・ヘルメット","Capacete Altyn","Altyn 头盔",
"STR_CfgVehicles_SFM_AltynHelmet_Base1","Capable of protecting the head from bullets, cold weapons, fragments of grenades, shells and mines. The helmet dome belongs to the 2nd class of protection, while the armored steel visor belongs to the 1st class. Prevents possible concussion of the fighter as a result of falling or impact","Capable of protecting the head from bullets, cold weapons, fragments of grenades, shells and mines. The helmet dome belongs to the 2nd class of protection, while the armored steel visor belongs to the 1st class. Prevents possible concussion of the fighter as a result of falling or impact","Dokáže chránit hlavu před kulkami, chladnými zbraněmi, střepinami granátů, granáty a minami. Kopule přilby patří do 2. třídy ochrany, zatímco pancéřové ocelové hledí do 1. třídy. Zabraňuje možnému otřesu mozku bojovníka v důsledku pádu nebo nárazu.","Er kann den Kopf vor Kugeln, kalten Waffen, Granatsplittern, Granaten und Minen schützen. Die Helmkuppel gehört zur 2. Klasse des Schutzes, während das Panzervisier zur 1. Verhindert eine mögliche Gehirnerschütterung des Kämpfers infolge eines Sturzes oder Aufpralls","Способен защитить голову от пули, холодного оружия, осколков гранат, снарядов и мин. Купол изделия относится ко 2-му классу защиты, бронированное стальное забрало – к 1-му. Предотвращать возможную контузию бойца в результате падения или удара","Zdolny do ochrony głowy przed pociskami, bronią zimną, odłamkami granatów, pociskami i minami. Kopuła hełmu należy do 2. klasy ochrony, podczas gdy wizjer ze stali pancernej należy do 1. klasy. Zapobiega ewentualnemu wstrząsowi myśliwca w wyniku upadku lub uderzenia.","Képes megvédeni a fejet a golyóktól, hideg fegyverektől, gránátok, gránátok és aknák szilánkjaitól. A sisak kupolája a 2. védelmi osztályba tartozik, míg a páncélozott acélvászon az 1. osztályba. Megakadályozza a harcos esetleges agyrázkódását esés vagy ütközés következtében.","In grado di proteggere la testa da proiettili, armi fredde, frammenti di granate, granate e mine. La calotta dell'elmetto appartiene alla 2a classe di protezione, mentre la visiera corazzata in acciaio appartiene alla 1a classe. Previene la possibile commozione cerebrale del combattente in seguito a cadute o impatti.","Capaz de proteger la cabeza de balas, armas frías, fragmentos de granadas, proyectiles y minas. La calota del casco pertenece a la 2ª clase de protección, mientras que la visera de acero blindado pertenece a la 1ª clase. Evita la posible conmoción cerebral del combatiente como consecuencia de una caída o un impacto","Capable de protéger la tête contre les balles, les armes à froid, les éclats de grenades, les obus et les mines. Le dôme du casque appartient à la deuxième classe de protection, tandis que la visière en acier blindé appartient à la première classe. Prévient les éventuelles commotions cérébrales du combattant à la suite d'une chute ou d'un impact.","能够保护头部免受子弹、冷兵器、手榴弹碎片、炮弹和地雷的伤害。头盔圆顶属于二级防护，而装甲钢面罩属于一级防护。防止战士因坠落或撞击而可能造成的脑震荡","銃弾、冷気兵器、手榴弾の破片、砲弾、地雷から頭部を守ることができる。ヘルメットのドームは第2種の保護等級に属し、装甲スチールバイザーは第1種に属する。落下や衝撃による戦闘機の脳震盪を防ぐ。","Capaz de proteger a cabeça de balas, armas frias, fragmentos de granadas, obuses e minas. A cúpula do capacete pertence à 2ª classe de proteção, enquanto a viseira de aço blindada pertence à 1ª classe. Evita eventuais concussões do combatente em caso de queda ou impacto","能够保护头部免受子弹、冷兵器、手榴弹碎片、炮弹和地雷的伤害。头盔圆顶属于二级防护，而装甲钢面罩属于一级防护。防止战士因坠落或撞击而可能造成的脑震荡",
"STR_CfgVehicles_SFM_Headphone_Base0","Tactical Headphones","Tactical Headphones","Taktická sluchátka","Taktische Kopfhörer","Тактические наушники","Słuchawki taktyczne","Taktikai fejhallgató","Cuffie tattiche","Auriculares tácticos","Casques tactiques","战术耳机","タクティカル・ヘッドフォン","Auscultadores tácticos","战术耳机",
